Lat Lon Depth Vs
50.750191 283.499474 280.000000 4.613385
50.750191 283.499474 320.000000 4.672117
50.750191 283.499474 370.000000 4.743044
50.750191 283.499474 420.000000 4.812693
50.750191 283.499474 420.000000 5.048637
50.750191 283.499474 470.000000 5.130210
50.750191 283.499474 520.000000 5.216566
50.750191 283.499474 570.000000 5.303038
50.750191 283.499474 620.000000 5.388578
50.750191 283.499474 670.000000 5.472982
50.750191 283.749474 70.000000 4.610465
50.750191 283.749474 90.000000 4.553751
50.750191 283.749474 110.000000 4.533224
50.750191 283.749474 130.000000 4.511767
50.750191 283.749474 150.000000 4.502636
50.750191 283.749474 170.000000 4.501332
50.750191 283.749474 190.000000 4.500718
50.750191 283.749474 210.000000 4.500580
50.750191 283.749474 230.000000 4.538419
50.750191 283.749474 250.000000 4.568432
50.750191 283.749474 280.000000 4.613385
50.750191 283.749474 320.000000 4.672117
50.750191 283.749474 370.000000 4.743044
50.750191 283.749474 420.000000 4.812693
50.750191 283.749474 420.000000 5.048637
50.750191 283.749474 470.000000 5.130210
50.750191 283.749474 520.000000 5.216566
50.750191 283.749474 570.000000 5.303038
50.750191 283.749474 620.000000 5.388578
50.750191 283.749474 670.000000 5.472982
50.750191 283.999474 70.000000 4.610465
50.750191 283.999474 90.000000 4.553751
50.750191 283.999474 110.000000 4.533224
50.750191 283.999474 130.000000 4.511767
50.750191 283.999474 150.000000 4.502636
50.750191 283.999474 170.000000 4.501332
50.750191 283.999474 190.000000 4.500718
50.750191 283.999474 210.000000 4.500580
50.750191 283.999474 230.000000 4.538419
50.750191 283.999474 250.000000 4.568432
50.750191 283.999474 280.000000 4.613385
50.750191 283.999474 320.000000 4.672117
50.750191 283.999474 370.000000 4.743044
50.750191 283.999474 420.000000 4.812693
50.750191 283.999474 420.000000 5.048637
50.750191 283.999474 470.000000 5.130210
50.750191 283.999474 520.000000 5.216566
50.750191 283.999474 570.000000 5.303038
50.750191 283.999474 620.000000 5.388578
50.750191 283.999474 670.000000 5.472982
50.750191 284.249474 70.000000 4.610465
50.750191 284.249474 90.000000 4.553751
50.750191 284.249474 110.000000 4.533224
50.750191 284.249474 130.000000 4.511767
50.750191 284.249474 150.000000 4.502636
50.750191 284.249474 170.000000 4.501332
50.750191 284.249474 190.000000 4.500718
50.750191 284.249474 210.000000 4.500580
50.750191 284.249474 230.000000 4.538419
50.750191 284.249474 250.000000 4.568432
50.750191 284.249474 280.000000 4.613385
50.750191 284.249474 320.000000 4.672117
50.750191 284.249474 370.000000 4.743044
50.750191 284.249474 420.000000 4.812693
50.750191 284.249474 420.000000 5.048637
50.750191 284.249474 470.000000 5.130210
50.750191 284.249474 520.000000 5.216566
