#Network 	 Station 	 Latitude 	 Longitude 	 Elevation 
AK	PS04	68.4215	-149.3568	849
AK	PS05	66.8133	-150.6646	327
AK	PS06	65.8545	-149.7369	280
AK	PS07	65.3106	-148.2791	289
AK	PS08	64.5422	-146.8221	320
AK	PS09	63.9299	-145.7682	468
AK	PS10	63.4229	-145.7684	738
AK	PS11	62.0789	-145.4751	375
AK	PS12	61.4749	-145.1458	562.7
AK	PTPK	61.187099	-142.467194	1892.6
AK	PWL	60.858398	-148.333405	550
AK	Q19K	58.9287	-153.6446	631
AK	Q23K	59.4296	-146.3399	46
AK	R16K	57.5673	-157.5742	38
AK	R18K	57.5665	-154.4524	39
AK	R32K	58.2747	-134.5181	386
AK	RAG	60.3863	-144.6773	752
AK	RC01	61.0889	-149.739	390
AK	RDOG	68.0541	-162.908005	423
AK	RIDG	63.7399	-144.8462	871
AK	RKAV	60.2994	-141.347794	1647
AK	RND	63.4056	-148.8602	993.6
AK	S31K	57.9616	-136.232	34
AK	S32K	57.4688	-134.5763	26
AK	SAMH	60.129398	-140.782806	1140
AK	SAW	61.806999	-148.331604	781
AK	SCM	61.832001	-147.328995	1050
AK	SCRK	63.976101	-143.990494	1375
AK	SGA	60.5341	-145.208206	449.6
AK	SII	56.5593	-154.1842	492
AK	SKN	61.98	-151.5317	581
AK	SLK	60.5117	-150.223099	655
AK	SPIA	57.176601	-170.247803	71
AK	SSN	61.4636	-150.7467	1306
AK	SSP	60.1791	-142.8388	472
AK	SUCK	60.071999	-143.779007	467
AK	SWD	60.1043	-149.4526	77
AK	TABL	60.439899	-141.144302	2050
AK	TGL	60.754101	-142.829193	1266.4
AK	THY	63.415901	-145.758408	755
AK	TNA	65.5598	-167.9267	74
AK	TOLK	68.6408	-149.5724	760
AK	TRAP	62.334599	-150.246094	142.3
AK	TRF	63.450199	-150.289307	1711.9
AK	TRF	63.4501	-150.2892	1709.9
AK	U33K	56.1146	-133.121	11
AK	UNV	53.8452	-166.5045	65
AK	V35K	55.3279	-131.615	64
AK	VMT	61.083	-146.368	97
AK	VRDI	61.227501	-143.454498	1909.4
AK	WAT1	62.8295	-148.5509	722
AK	WAT2	62.9628	-148.5855	1366
AK	WAT3	62.681198	-148.537704	1499.9
AK	WAT4	62.8349	-147.942093	1191
